index,prelim_date,prelim1_winner_team,prelim1_winner_score,prelim1_loser_team,prelim1_loser_score,prelim2_winner_team,prelim2_winner_score,prelim2_loser_team,prelim2_loser_score,final_date,thirdplace_winner_team,thirdplace_winner_score,thirdplace_loser_team,thirdplace_loser_score,final_winner_team,final_winner_score,final_loser_team,final_loser_score
1st Women's Beanpot,"March 16, 1979",Boston College,4,Boston University,1,Northeastern,4,Harvard,0,"March 17, 1979",Boston University,4,Harvard,1,Northeastern,3,Boston College,1
2nd Women's Beanpot,"February 23, 1980",Northeastern,11,Boston College,0,Harvard,5,Boston University,3,"February 24, 1980",Boston University,2,Boston College,1,Northeastern,7,Harvard,1
3rd Women's Beanpot,"February 17, 1981",Boston College,2,Harvard,1,Boston University,4,Northeastern,0,"February 20, 1981",Northeastern,8,Harvard,0,Boston University,4,Boston College,0
4th Women's Beanpot,"February 16, 1982",Harvard,3,Northeastern,2,Boston University,10,Boston College,0,"February 19, 1982",Northeastern,7,Boston College,4,Harvard,2,Boston University,1
5th Women's Beanpot,"February 8, 1983",Harvard,12,Boston College,0,Northeastern,11,Boston University,1,"February 18, 1983",Boston University,10,Boston College,0,Harvard,2,Northeastern,1
6th Women's Beanpot,"February 7, 1984",Northeastern,14,Boston College,0,Harvard,10,Boston University,0,"February 17, 1984",Boston College,3,Boston University,2,Northeastern,7,Harvard,1
7th Women's Beanpot,"February 5, 1985",Boston College,4,Boston University,0,Northeastern,8,Harvard,2,"February 12, 1985",Harvard,8,Boston University,1,Northeastern,7,Boston College,0
8th Women's Beanpot,"February 5, 1986",Northeastern,6,Boston University,0,Harvard,12,Boston College,1,"February 11, 1986",Boston University,2,Boston College,0,Northeastern,7,Harvard,0
9th Women's Beanpot,"February 3, 1987",Northeastern,10,Boston College,0,Harvard,10,Boston University,0,"February 10, 1987",Boston College,3,Boston University,2,Northeastern,7,Harvard,1
10th Women's Beanpot,"February 2, 1988",Northeastern,2,Boston University,0,Harvard,11,Boston College,0,"February 9, 1988",Boston University,3,Boston College,2,Northeastern,5,Harvard,1
11th Women's Beanpot,"February 7, 1989",Harvard,8,Boston University,0,Northeastern,11,Boston College,0,"February 14, 1989",,,,,Northeastern,9,Harvard,0
12th Women's Beanpot,"February 6, 1990",Northeastern,2,Boston University,0,Harvard,10,Boston College,2,"February 13, 1990",,,,,Northeastern,3,Harvard,2
13th Women's Beanpot,"February 4, 1991",Harvard,10,Boston University,0,Northeastern,2,Boston College,0,"February 12, 1991",Boston College,4,Boston University,1,Northeastern,2,Harvard,1
14th Women's Beanpot,"February 4, 1992",Harvard,5,Boston College,1,Northeastern,4,Boston University,0,"February 11, 1992",,,,,Harvard,3,Northeastern,0
15th Women's Beanpot,"February 2, 1993",Northeastern,10,Boston College,1,Brown,2,Harvard,1,"February 9, 1993",Boston College,4,Harvard,3,Brown,3,Northeastern,0
16th Women's Beanpot,"February 8, 1994",Northeastern,10,Boston College,1,Harvard,3,,,"February 15, 1994",,,,,Northeastern,6,Harvard,2
17th Women's Beanpot,"February 7, 1995",Northeastern,24,Boston University,0,Harvard,3,Boston College,2,"February 14, 1995",Boston College,7,Boston University,0,Harvard,3,Northeastern,2
18th Women's Beanpot,"February 6, 1996",Boston College,9,Boston University,0,Northeastern,4,Harvard,0,"February 13, 1996",Harvard,8,Boston University,0,Northeastern,4,Boston College,3
19th Women's Beanpot,"January 27, 1997",Harvard,14,Boston University,0,Northeastern,8,Boston College,1,"February 11, 1997",Boston College,9,Boston University,0,Northeastern,8,Harvard,1
20th Women's Beanpot,"February 3, 1998",Northeastern,9,Boston University,0,Harvard,6,Boston College,4,"February 10, 1998",Boston College,11,Boston University,3,Northeastern,5,Harvard,4
21st Women's Beanpot,"February 2, 1999",Boston College,9,Boston University,1,Harvard,7,Northeastern,6,"February 9, 1999",Northeastern,15,Boston University,1,Harvard,9,Boston College,0
22nd Women's Beanpot,"February 8, 2000",Northeastern,7,Boston College,0,Harvard,7,Boston University,0,"February 15, 2000",Boston College,7,Boston University,0,Harvard,4,Northeastern,3
23rd Women's Beanpot,"February 6, 2001",Northeastern,9,Boston University,0,Harvard,8,Boston College,1,"February 13, 2001",Boston College,5,Boston University,0,Harvard,4,Northeastern,3
24th Women's Beanpot,"February 6, 2002",Boston College,8,Boston University,0,Harvard,4,Northeastern,3,"February 12, 2002",Northeastern,8,Boston University,0,Harvard,7,Boston College,2
25th Women's Beanpot,"February 4, 2003",Boston College,3,Northeastern,2,Harvard,7,Boston University,0,"February 11, 2003",Northeastern,8,Boston University,0,Harvard,7,Boston College,0
26th Women's Beanpot,"February 3, 2004",Northeastern,8,Boston University,0,Harvard,4,Boston College,0,"February 10, 2004",Boston College,7,Boston University,1,Harvard,5,Northeastern,1
27th Women's Beanpot,"February 8, 2005",Boston College,9,Boston University,1,Harvard,9,Northeastern,1,"February 15, 2005",Northeastern,4,Boston University,0,Harvard,6,Boston College,1
28th Women's Beanpot,"February 7, 2006",Boston College,4,Northeastern,3,Harvard,2,Boston University,1,"February 14, 2006",Boston University,3,Northeastern,1,Boston College,2,Harvard,0
29th Women's Beanpot,"February 6, 2007",Boston University,4,Northeastern,2,Boston College,4,Harvard,3,"February 13, 2007",Harvard,8,Northeastern,0,Boston College,6,Boston University,1
30th Women's Beanpot,"February 5, 2008",Harvard,3,Northeastern,1,Boston University,3,Boston College,1,"February 12, 2008",Boston College,2,Northeastern,1,Harvard,3,Boston University,1
31st Women's Beanpot,"February 3, 2009",Harvard,8,Boston University,0,Boston College,3,Northeastern,1,"February 10, 2009",Boston University,2,Northeastern,1,Boston College,1,Harvard,0
32nd Women's Beanpot,"February 2, 2010",Northeastern,4,Boston University,4,Harvard,5,Boston College,0,"February 9, 2010",Boston University,1,Boston College,1,Harvard,1,Northeastern,0
33rd Women's Beanpot,"February 8, 2011",Harvard,3,Northeastern,3,Boston College,2,Boston University,1,"February 15, 2011",Boston University,3,Northeastern,3,Boston College,3,Harvard,1
34th Women's Beanpot,"January 31, 2012",Northeastern,1,Boston College,1,Boston University,5,Harvard,2,"February 7, 2012",Boston College,4,Harvard,2,Northeastern,4,Boston University,3
35th Women's Beanpot,"February 5, 2013",Boston College,2,Harvard,1,Northeastern,4,Boston University,1,"February 12, 2013",Harvard,3,Boston University,0,Northeastern,4,Boston College,3
36th Women's Beanpot,"February 4, 2014",Northeastern,4,Harvard,3,Boston College,4,Boston University,1,"February 11, 2014",Harvard,3,Boston University,2,Boston College,3,Northeastern,0
37th Women's Beanpot,"February 3, 2015",Boston College,3,Northeastern,1,Harvard,9,Boston University,2,"February 10, 2015",Boston University,3,Northeastern,1,Harvard,3,Boston College,2
38th Women's Beanpot,"February 2, 2016",Boston College,8,Harvard,0,Northeastern,3,Boston University,2,"February 9, 2016",Harvard,5,Boston University,3,Boston College,7,Northeastern,0
39th Women's Beanpot,"January 31, 2017",Boston College,3,Boston University,2,Northeastern,4,Harvard,1,"February 7, 2017",Harvard,6,Boston University,6,Boston College,2,Northeastern,1
40th Women's Beanpot,"February 6, 2018",Boston University,3,Harvard,2,Boston College,5,Northeastern,2,"February 13, 2018",Harvard,4,Northeastern,3,Boston College,4,Boston University,3
41st Women's Beanpot,"February 5, 2019",Boston University,3,Northeastern,3,Harvard,4,Boston College,1,"February 12, 2019",Boston College,4,Northeastern,1,Boston University,3,Harvard,2
