index,year,prelim1_winner_team,prelim1_winner_score,prelim1_loser_team,prelim1_loser_score,prelim2_winner_team,prelim2_winner_score,prelim2_loser_team,prelim2_loser_score,final_date,thirdplace_winner_team,thirdplace_winner_score,thirdplace_loser_team,thirdplace_loser_score,final_winner_team,final_winner_score,final_loser_team,final_loser_score
1st,"1952",Boston U.,4,Northeastern,1,Harvard,3,Boston College,2,"December 27, 1952",Boston College,2,Northeastern,0,Harvard,7,Boston U.,4
2nd,"1954",Harvard,3,Boston U.,2,Boston College,8,Northeastern,5,"January 12, 1954",Boston U.,5,Northeastern,3,Boston College,4,Harvard,1
3rd,"1955",Harvard,12,Northeastern,3,Boston College,9,Boston U.,5,"February 8, 1955",Boston U.,4,Northeastern,3,Harvard,5,Boston College,4
4th,"1956",Boston College,7,Northeastern,1,Harvard,6,Boston U.,1,"February 8, 1956",Boston U.,9,Northeastern,3,Boston College,4,Harvard,2
5th,"1957",Boston College,6,Northeastern,0,Boston U.,5,Harvard,3,"February 5, 1957",Harvard,5,Northeastern,3,Boston College,5,Boston U.,4
6th,"1958",Northeastern,5,Harvard,4,Boston U.,5,Boston College,4,"February 10, 1958",Harvard,7,Boston College,1,Boston U.,9,Northeastern,3
7th,"1959",Boston College,6,Harvard,4,Boston U.,7,Northeastern,4,"February 9, 1959",Harvard,4,Northeastern,0,Boston College,7,Boston U.,4
8th,"1960",Harvard,5,Northeastern,3,Boston U.,5,Boston College,2,"February 15, 1960",Northeastern,6,Boston College,5,Harvard,3,Boston U.,2
9th,"1961",Boston College,15,Northeastern,1,Harvard,3,Boston U.,2,"February 13, 1961",Northeastern,6,Boston U.,2,Boston College,4,Harvard,2
10th,"1962",Boston U.,5,Northeastern,4,Harvard,6,Boston College,1,"February 12, 1962",Boston College,4,Northeastern,0,Harvard,5,Boston U.,0
11th,"1963",Boston College,2,Boston U.,1,Harvard,4,Northeastern,3,"February 11, 1963",Northeastern,4,Boston U.,2,Boston College,3,Harvard,1
12th,"1964",Boston College,7,Northeastern,4,Boston U.,3,Harvard,2,"February 10, 1964",Harvard,7,Northeastern,5,Boston College,6,Boston U.,5
13th,"1965",Boston U.,5,Northeastern,4,Boston College,5,Harvard,4,"February 15, 1965",Northeastern,3,Harvard,1,Boston College,5,Boston U.,4
14th,1966,Harvard,5,Northeastern,1,Boston U.,6,Boston College,4,"February 14, 1966",Boston College,5,Northeastern,3,Boston U.,9,Harvard,2
15th,"1967",Northeastern,6,Boston College,5,Boston U.,8,Harvard,3,"February 13, 1967",Boston College,6,Harvard,5,Boston U.,4,Northeastern,0
16th,"1968",Boston U.,7,Northeastern,4,Harvard,6,Boston College,4,"February 12, 1968",Boston College,6,Northeastern,4,Boston U.,4,Harvard,1
17th,"1969",Harvard,8,Northeastern,4,Boston U.,4,Boston College,2,"February 10, 1969",Boston College,6,Northeastern,3,Harvard,5,Boston U.,3
18th,"1970",Boston College,5,Northeastern,0,Boston U.,5,Harvard,3,"February 9, 1970",Harvard,5,Northeastern,4,Boston U.,5,Boston College,4
19th,"1971",Boston U.,12,Northeastern,2,Harvard,10,Boston College,4,"February 22, 1971",Boston College,8,Northeastern,2,Boston U.,4,Harvard,1
20th,"1972",Harvard,8,Northeastern,3,Boston U.,4,Boston College,2,"February 14, 1972",Boston College,5,Northeastern,4,Boston U.,4,Harvard,1
21st,"1973",Boston College,9,Northeastern,8,Boston U.,8,Harvard,3,"February 12, 1973",Harvard,8,Northeastern,5,Boston U.,4,Boston College,1
22nd,"1974",Boston U.,6,Northeastern,1,Harvard,11,Boston College,6,"February 11, 1974",Northeastern,4,Boston College,3,Harvard,5,Boston U.,4
23rd,"1975",Harvard,9,Northeastern,0,Boston U.,5,Boston College,3,"February 10, 1975",Northeastern,5,Boston College,3,Boston U.,7,Harvard,2
24th,"1976",Boston College,5,Northeastern,3,Boston U.,6,Harvard,5,"February 9, 1976",Harvard,4,Northeastern,2,Boston College,6,Boston U.,3
25th,1977,Boston U.,10,Northeastern,5,Harvard,4,Boston College,2,"February 14, 1977",Boston College,6,Northeastern,4,Harvard,4,Boston U.,3
26th,"1978",Harvard,4,Northeastern,3,Boston U.,12,Boston College,5,"March 1, 1978",Boston College,3,Northeastern,2,Boston U.,7,Harvard,1
27th,"1979",Boston College,7,Northeastern,2,Boston U.,4,Harvard,2,"February 12, 1979",Northeastern,5,Harvard,4,Boston U.,4,Boston College,3
28th,"1980",Northeastern,6,Boston U.,5,Boston College,4,Harvard,3,"February 11, 1980",Harvard,7,Boston U.,4,Northeastern,5,Boston College,4
29th,"1981",Harvard,10,Northeastern,2,Boston College,5,Boston U.,2,"February 9, 1981",Boston U.,9,Northeastern,2,Harvard,2,Boston College,0
30th,"1982",Boston U.,5,Harvard,1,Boston College,3,Northeastern,2,"February 8, 1982",Northeastern,6,Harvard,5,Boston U.,3,Boston College,1
31st,"1983",Boston College,5,Harvard,4,Northeastern,4,Boston U.,3,"February 14, 1983",Boston U.,5,Harvard,4,Boston College,8,Northeastern,2
32nd,"1984",Northeastern,7,Harvard,3,Boston U.,6,Boston College,5,"February 13, 1984",Boston College,5,Harvard,2,Northeastern,5,Boston U.,2
33rd,"1985",Boston U.,5,Harvard,3,Northeastern,4,Boston College,2,"February 11, 1985",Harvard,6,Boston College,5,Northeastern,4,Boston U.,2
34th,"1986",Boston U.,8,Northeastern,5,Boston College,4,Harvard,2,"February 10, 1986",Harvard,7,Northeastern,1,Boston U.,4,Boston College,1
35th,"1987",Boston U.,6,Boston College,3,Northeastern,5,Harvard,4,"February 9, 1987",Boston College,7,Harvard,6,Boston U.,4,Northeastern,3
36th,"1988",Northeastern,4,Boston College,0,Boston U.,6,Harvard,4,"February 8, 1988",Boston College,4,Harvard,2,Northeastern,6,Boston U.,3
37th,"1989",Harvard,5,Boston College,4,Boston U.,5,Northeastern,4,"February 13, 1989",Boston College,4,Northeastern,1,Harvard,9,Boston U.,6
38th,"1990",Boston U.,4,Boston College,3,Harvard,5,Northeastern,4,"February 12, 1990",Boston College,8,Northeastern,4,Boston U.,8,Harvard,2
39th,"1991",Boston College,5,Northeastern,3,Boston U.,8,Harvard,2,"February 11, 1991",Northeastern,5,Harvard,0,Boston U.,8,Boston College,4
40th,"1992",Harvard,6,Boston College,4,Boston U.,5,Northeastern,4,"February 10, 1992",Boston College,5,Northeastern,3,Boston U.,5,Harvard,2
41st,"1993",Harvard,7,Northeastern,5,Boston U.,8,Boston College,2,"February 8, 1993",Northeastern,4,Boston College,3,Harvard,4,Boston U.,2
42nd,"1994",Boston College,5,Northeastern,4,Harvard,4,Boston U.,2,"February 14, 1994",Boston U.,8,Northeastern,0,Boston College,2,Harvard,1
43rd,"1995",Boston U.,6,Northeastern,2,Boston College,7,Harvard,6,"February 13, 1995",Northeastern,4,Harvard,2,Boston U.,5,Boston College,1
44th,"1996",Northeastern,4,Harvard,1,Boston U.,4,Boston College,1,"February 12, 1996",Boston College,6,Harvard,2,Boston U.,11,Northeastern,4
45th,"1997",Boston U.,7,Harvard,1,Boston College,4,Northeastern,1,"February 10, 1997",Northeastern,2,Harvard,0,Boston U.,4,Boston College,2
46th,"1998",Boston U.,4,Northeastern,1,Harvard,5,Boston College,4,"February 9, 1998",Boston College,4,Northeastern,1,Boston U.,2,Harvard,1
47th,"1999",Northeastern,4,Harvard,3,Boston U.,3,Boston College,2,"February 8, 1999",Boston College,6,Harvard,4,Boston U.,4,Northeastern,2
48th,"2000",Boston College,6,Northeastern,0,Boston U.,4,Harvard,0,"February 14, 2000",Harvard,3,Northeastern,1,Boston U.,4,Boston College,1
49th,"2001",Boston U.,6,Northeastern,4,Boston College,4,Harvard,1,"February 12, 2001",Northeastern,8,Harvard,7,Boston College,5,Boston U.,3
50th,"2002",Northeastern,5,Harvard,2,Boston U.,5,Boston College,3,"February 11, 2002",Boston College,4,Harvard,0,Boston U.,5,Northeastern,3
51st,"2003",Boston U.,2,Harvard,1,Boston College,5,Northeastern,2,"February 10, 2003",Harvard,4,Northeastern,1,Boston U.,3,Boston College,2
52nd,"2004",Boston U.,5,Northeastern,2,Boston College,4,Harvard,1,"February 9, 2004",Northeastern,3,Harvard,1,Boston College,2,Boston U.,1
53rd,"2005",Northeastern,2,Harvard,1,Boston U.,3,Boston College,1,"February 14, 2005",Boston College,4,Harvard,1,Boston U.,3,Northeastern,2
54th,"2006",Boston College,5,Northeastern,2,Boston U.,5,Harvard,3,"February 13, 2006",Harvard,5,Northeastern,0,Boston U.,3,Boston College,2
55th,"2007",Boston U.,4,Northeastern,0,Boston College,3,Harvard,1,"February 12, 2007",Northeastern,3,Harvard,1,Boston U.,2,Boston College,1
56th,"2008",Harvard,3,Northeastern,1,Boston College,4,Boston U.,3,"February 11, 2008",Boston U.,5,Northeastern,4,Boston College,6,Harvard,5
57th,"2009",Boston U.,4,Harvard,3,Northeastern,6,Boston College,1,"February 9, 2009",Boston College,4,Harvard,3,Boston U.,5,Northeastern,2
58th,"2010",Boston U.,2,Northeastern,1,Boston College,6,Harvard,0,"February 8, 2010",Northeastern,4,Harvard,1,Boston College,4,Boston U.,3
59th,"2011",Northeastern,4,Harvard,0,Boston College,3,Boston U.,2,"February 14, 2011",Harvard,5,Boston U.,4,Boston College,7,Northeastern,6
60th,"2012",Boston U.,3,Harvard,1,Boston College,7,Northeastern,1,"February 13, 2012",Harvard,3,Northeastern,2,Boston College,3,Boston U.,2
61st,"2013",Northeastern,3,Boston U.,2,Boston College,4,Harvard,1,"February 11, 2013",Harvard,7,Boston U.,4,Boston College,6,Northeastern,3
62nd,"2014",Northeastern,6,Harvard,0,Boston College,3,Boston U.,1,"February 10, 2014",Harvard,6,Boston U.,2,Boston College,4,Northeastern,1
63rd,"2015",Boston U.,4,Harvard,3,Northeastern,3,Boston College,2,"February 23, 2015",Boston College,3,Harvard,2,Boston U.,4,Northeastern,3
64th,"2016",Boston College,3,Harvard,2,Boston U.,3,Northeastern,1,"February 8, 2016",Northeastern,5,Harvard,1,Boston College,1,Boston U.,0
65th,"2017",Harvard,4,Northeastern,3,Boston U.,3,Boston College,1,"February 13, 2017",Northeastern,4,Boston College,2,Harvard,6,Boston U.,3
66th,"2018",Northeastern,3,Boston College,0,Boston U.,3,Harvard,2,"February 12, 2017",Harvard,5,Boston College,4,Northeastern,5,Boston U.,2
67th,"2019",Boston College,2,Harvard,1,Northeastern,2,Boston U.,1,"February 13, 2017",Harvard,5,Boston U.,2,Northeastern,4,Boston College,2
