index,prelim_date,prelim1_winner_team,prelim1_winner_score,prelim1_loser_team,prelim1_loser_score,prelim2_winner_team,prelim2_winner_score,prelim2_loser_team,prelim2_loser_score,final_date,thirdplace_winner_team,thirdplace_winner_score,thirdplace_loser_team,thirdplace_loser_score,final_winner_team,final_winner_score,final_loser_team,final_loser_score
1st Women's Beanpot,16-Mar-79,Boston College,4,Boston University,1,Northeastern,4,Harvard,0,17-Mar-79,Boston University,4,Harvard,1,Northeastern,3,Boston College,1
2nd Women's Beanpot,23-Feb-80,Northeastern,11,Boston College,0,Harvard,5,Boston University,3,24-Feb-80,Boston University,2,Boston College,1,Northeastern,7,Harvard,1
3rd Women's Beanpot,17-Feb-81,Boston College,2,Harvard,1,Boston University,4,Northeastern,0,20-Feb-81,Northeastern,8,Harvard,0,Boston University,4,Boston College,0
4th Women's Beanpot,16-Feb-82,Harvard,3,Northeastern,2,Boston University,10,Boston College,0,19-Feb-82,Northeastern,7,Boston College,4,Harvard,2,Boston University,1
5th Women's Beanpot,8-Feb-83,Harvard,12,Boston College,0,Northeastern,11,Boston University,1,18-Feb-83,Boston University,10,Boston College,0,Harvard,2,Northeastern,1
6th Women's Beanpot,7-Feb-84,Northeastern,14,Boston College,0,Harvard,10,Boston University,0,17-Feb-84,Boston College,3,Boston University,2,Northeastern,7,Harvard,1
7th Women's Beanpot,5-Feb-85,Boston College,4,Boston University,0,Northeastern,8,Harvard,2,12-Feb-85,Harvard,8,Boston University,1,Northeastern,7,Boston College,0
8th Women's Beanpot,5-Feb-86,Northeastern,6,Boston University,0,Harvard,12,Boston College,1,11-Feb-86,Boston University,2,Boston College,0,Northeastern,7,Harvard,0
9th Women's Beanpot,3-Feb-87,Northeastern,10,Boston College,0,Harvard,10,Boston University,0,10-Feb-87,Boston College,3,Boston University,2,Northeastern,7,Harvard,1
10th Women's Beanpot,2-Feb-88,Northeastern,2,Boston University,0,Harvard,11,Boston College,0,9-Feb-88,Boston University,3,Boston College,2,Northeastern,5,Harvard,1
11th Women's Beanpot,7-Feb-89,Harvard,8,Boston University,0,Northeastern,11,Boston College,0,14-Feb-89,,,,,Northeastern,9,Harvard,0
12th Women's Beanpot,6-Feb-90,Northeastern,2,Boston University,0,Harvard,10,Boston College,2,13-Feb-90,,,,,Northeastern,3,Harvard,2
13th Women's Beanpot,4-Feb-91,Harvard,10,Boston University,0,Northeastern,2,Boston College,0,12-Feb-91,Boston College,4,Boston University,1,Northeastern,2,Harvard,1
14th Women's Beanpot,4-Feb-92,Harvard,5,Boston College,1,Northeastern,4,Boston University,0,11-Feb-92,,,,,Harvard,3,Northeastern,0
